paperid,doi,shortnormname,soundex,normname,magid,s2id,lvl0,lvl1,affid
2166386202,10.1145/2595188.2595218,apapandreou,A115,a papandreou,2683076448,143977856,"","",31972630
2166386202,10.1145/2595188.2595218,apapandreou,A115,a papandreou,2683076448,143977856,"","",154945302
2047739559,10.1007/s00542-015-2510-y,aababneh,A134,a ababneh,2139313402,23203218,85507684,192562407,159985019
2047739559,10.1007/s00542-015-2510-y,aababneh,A134,a ababneh,2139313402,23203218,"","",66938386
2048635696,10.1007/s00037-008-0245-1,apavan,A361,a pavan,2150759953,1989403,173911158,33923547,118615104
2048635696,10.1007/s00037-008-0245-1,apavan,A361,a pavan,2150759953,1989403,"","",114614502
2909900500,10.1145/3282308.3282333,apapamichail,A242,aggelos papamichail,2910823319,66382219,194019607,41008148,115903868
2042089113,10.1109/pci.2011.32,apapantoniou,A221,agis papantoniou,2041740167,2415286,200777214,41008148,136764020
2042089113,10.1109/pci.2011.32,apapantoniou,A221,agis papantoniou,2041740167,2415286,"","",23123220
2171191044,10.1109/tsp.2012.2226172,apapandreousuppappola,A535,antonia papandreousuppappola,297891418,1400878863,55732556,41008148,11413529
2177238768,10.1155/2015/890637,apavinatto,A365,adriana pavinatto,2591031363,48406113,199691007,192562407,171250308
2008971371,10.1145/2157136.2157266,avihavainen,A631,arto vihavainen,2028882092,1772044,133731052,41008148,115903868
2008971371,10.1145/2157136.2157266,avihavainen,A631,arto vihavainen,2028882092,1772044,"","",199360897
2136421483,10.1016/j.ic.2010.09.006,apavan,A361,a pavan,2150759953,1989403,173911158,33923547,199539241
1971786471,10.1016/j.matcom.2010.10.005,apapini,A425,alessandra papini,2153130893,34569262,45084792,33923547,202444582
1971786471,10.1016/j.matcom.2010.10.005,apapini,A425,alessandra papini,2153130893,34569262,"","",114614502
1573534181,10.1007/978-3-642-13470-8_43,aboaventura,A511,ana boaventura,2504081969,11673027,86519309,41008148,49774154
1573534181,10.1007/978-3-642-13470-8_43,aboaventura,A511,ana boaventura,2504081969,11673027,"","",75630572
2296107544,10.1145/2824840.2824842,apappenheim,A636,artur pappenheim,2344834694,48784105,1283220839,41008148,31972630
2296107544,10.1145/2824840.2824842,apappenheim,A636,artur pappenheim,2344834694,48784105,"","",121684516
2296107544,10.1145/2824840.2824842,apappenheim,A636,artur pappenheim,2344834694,48784105,"","",154945302
2038169746,10.1109/tsp.2012.2208961,abehbahani,A462,alireza s behbahani,2018052331,2758356,204250578,41008148,65244806
2829276485,10.1145/3200947.3201014,apapamichail,A523,anastasia papamichail,2818900394,51052232,98805295,41008148,154945302
1529971990,10.1007/11946465_27,apapana,A524,angeliki papana,1968134479,2274584,21370196,33923547,105795698
1529971990,10.1007/11946465_27,apapana,A524,angeliki papana,1968134479,2274584,"","",154945302
1529971990,10.1007/11946465_27,apapana,A524,angeliki papana,1968134479,2274584,"","",178980831
2061352247,10.1137/060673886,apavan,A361,a pavan,2150759953,1989403,25974101,33923547,114614502
2061352247,10.1137/060673886,apavan,A361,a pavan,2150759953,1989403,"","",118615104
2121760724,10.1109/tcad.2010.2043590,abuben,A425,alison buben,2230538255,47276597,200885203,41008148,11413529
2033446044,10.1162/jocn.1990.2.1.44,apapanicolaou,A536,andrew c papanicolaou,2894408457,84529722,55302922,15744967,169760540
2010500082,10.1016/s0167-9317(00)00312-9,apepin,A115,a pepin,2306313696,46824733,1294671590,192562407,49040817
2010500082,10.1016/s0167-9317(00)00312-9,apepin,A115,a pepin,2306313696,46824733,"","",171250308
2045093350,10.1145/2591508,apavan,A361,a pavan,2150759953,1989403,173911158,33923547,118615104
2045093350,10.1145/2591508,apavan,A361,a pavan,2150759953,1989403,"","",114614502
2046905305,10.1007/s00542-015-2438-2,apapon,A511,a m papon,2612085713,153015160,"",192562407,24326235
2046905305,10.1007/s00542-015-2438-2,apapon,A511,a m papon,2612085713,153015160,"","",49040817
2100240379,10.1109/tsp.1993.193179,apapandreou,A115,a papandreou,2674065281,32276340,17626003,33923547,28490314
2100240379,10.1109/tsp.1993.193179,apapandreou,A115,a papandreou,2674065281,32276340,"","",11413529
2342883577,10.1016/j.robot.2014.05.003,ababinec,A536,andrej babinec,2095905866,2071601,110757952,41008148,31972630
2342883577,10.1016/j.robot.2014.05.003,ababinec,A536,andrej babinec,2095905866,2071601,"","",154945302
1501939853,10.1007/11944836_19,apavan,A361,a pavan,2150759953,1989403,173911158,33923547,11413529
1501939853,10.1007/11944836_19,apavan,A361,a pavan,2150759953,1989403,"","",118615104
2128153671,10.1109/das.2012.97,apapandreou,A115,a papandreou,2683076448,143977856,"",41008148,178980831
2128153671,10.1109/das.2012.97,apapandreou,A115,a papandreou,2683076448,143977856,"","",154945302
2128153671,10.1109/das.2012.97,apapandreou,A115,a papandreou,2683076448,143977856,"","",28490314
2605549666,10.1016/j.amc.2017.03.041,apapaioannou,A123,apostolos d papaioannou,2667618637,3249268,146655781,162324750,162118730
2605549666,10.1016/j.amc.2017.03.041,apapaioannou,A123,apostolos d papaioannou,2667618637,3249268,"","",149782125
1483648039,10.1007/978-3-540-30538-5_28,apavan,A361,a pavan,2150759953,1989403,173911158,33923547,114614502
1976366291,10.1016/j.cose.2008.01.001,aphippen,A531,andy phippen,2308435592,2909713,897542642,144133560,38652104
2008123691,10.1145/2724660.2724671,avihavainen,A631,arto vihavainen,2028882092,1772044,133731052,127413603,136764020
2090674412,10.1145/1377676.1377717,avihavainen,A631,arto vihavainen,2028882092,1772044,133731052,33923547,11413529
2090674412,10.1145/1377676.1377717,avihavainen,A631,arto vihavainen,2028882092,1772044,"","",126255220
2167392802,10.1145/1366110.1366180,apapanikolaou,A535,antonis papanikolaou,2722353461,1804062,99464096,127413603,24326235
2167392802,10.1145/1366110.1366180,apapanikolaou,A535,antonis papanikolaou,2722353461,1804062,"","",200601418
2071389056,10.1016/j.mee.2007.01.191,apepin,A115,a pepin,2306313696,98007374,1294671590,192562407,49040817
2071389056,10.1016/j.mee.2007.01.191,apepin,A115,a pepin,2306313696,98007374,"","",171250308
2733358326,10.1145/3092837,abeben,A536,a beben,2085622678,3134692,108403487,41008148,31258907
2733358326,10.1145/3092837,abeben,A536,a beben,2085622678,3134692,"","",11413529
2733358326,10.1145/3092837,abeben,A536,a beben,2085622678,3134692,"","",79403827
